variable_id,value_aud_mil,fiscal_year,is_forward_estimate,source_line_item,notes
rev_payroll,3565,2018-19,FALSE,Payroll tax,Actual
rev_payroll,3642,2019-20,FALSE,Payroll tax,Actual
rev_payroll,3566,2020-21,FALSE,Payroll tax,Budget Estimate
rev_payroll,3801,2021-22,TRUE,Payroll tax,Forward Estimate
rev_payroll,3991,2022-23,TRUE,Payroll tax,Forward Estimate
rev_payroll,4070,2023-24,TRUE,Payroll tax,Forward Estimate
rev_stamp_duty,1105,2018-19,FALSE,Total duty on transfers,Actual
rev_stamp_duty,1329,2019-20,FALSE,Total duty on transfers,Actual
rev_stamp_duty,1259,2020-21,FALSE,Total duty on transfers,Budget Estimate
rev_stamp_duty,1218,2021-22,TRUE,Total duty on transfers,Forward Estimate
rev_stamp_duty,1398,2022-23,TRUE,Total duty on transfers,Forward Estimate
rev_stamp_duty,1551,2023-24,TRUE,Total duty on transfers,Forward Estimate
rev_land_tax,807,2018-19,FALSE,Land tax,Actual
rev_land_tax,792,2019-20,FALSE,Land tax,Actual
rev_land_tax,770,2020-21,FALSE,Land tax,Budget Estimate
rev_land_tax,749,2021-22,TRUE,Land tax,Forward Estimate
rev_land_tax,747,2022-23,TRUE,Land tax,Forward Estimate
rev_land_tax,771,2023-24,TRUE,Land tax,Forward Estimate
rev_gambling,294,2018-19,FALSE,Total taxes on gambling,Actual
rev_gambling,291,2019-20,FALSE,Total taxes on gambling,Actual
rev_gambling,272,2020-21,FALSE,Total taxes on gambling,Budget Estimate
rev_gambling,283,2021-22,TRUE,Total taxes on gambling,Forward Estimate
rev_gambling,300,2022-23,TRUE,Total taxes on gambling,Forward Estimate
rev_gambling,312,2023-24,TRUE,Total taxes on gambling,Forward Estimate
rev_motor_vehicle,1367,2018-19,FALSE,Total motor vehicle taxes,Actual
rev_motor_vehicle,1429,2019-20,FALSE,Total motor vehicle taxes,Actual
rev_motor_vehicle,1447,2020-21,FALSE,Total motor vehicle taxes,Budget Estimate
rev_motor_vehicle,1492,2021-22,TRUE,Total motor vehicle taxes,Forward Estimate
